 IPER  ISTEP  TLEN  IDB  ILYR  IROW  ICOL  NODE  THIK  HEAD  THETA  VK  SKE  SKV
 1          11         5.443161         1          1          1          2          9          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          11         5.443161         1          1          1          2          10         2.6315789        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          12         6.0984571        1          1          1          2          1          5.2407759        9.5830552        0.44765109       0.001            1.0238948e-05    0.010238948     
 1          12         6.0984571        1          1          1          2          2          5.2628975        9.9951517        0.44997279       0.001            1.0204486e-05    0.010204486     
 1          12         6.0984571        1          1          1          2          3          5.2631557        9.9999594        0.44999977       0.001            1.0204085e-05    0.010204085     
 1          12         6.0984571        1          1          1          2          4          5.2631579        9.9999997        0.45             0.001            1.0204082e-05    0.010204082     
 1          12         6.0984571        1          1          1          2          5          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          12         6.0984571        1          1          1          2          6          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          12         6.0984571        1          1          1          2          7          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          12         6.0984571        1          1          1          2          8          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          12         6.0984571        1          1          1          2          9          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          12         6.0984571        1          1          1          2          10         2.6315789        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          13         6.7865181        1          1          1          2          1          5.2383418        9.5376896        0.44739444       0.001            1.0242758e-05    0.010242758     
 1          13         6.7865181        1          1          1          2          2          5.2628386        9.9940551        0.44996663       0.001            1.0204577e-05    0.010204577     
 1          13         6.7865181        1          1          1          2          3          5.2631549        9.9999452        0.44999969       0.001            1.0204086e-05    0.010204086     
 1          13         6.7865181        1          1          1          2          4          5.2631579        9.9999996        0.45             0.001            1.0204082e-05    0.010204082     
 1          13         6.7865181        1          1          1          2          5          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          13         6.7865181        1          1          1          2          6          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          13         6.7865181        1          1          1          2          7          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          13         6.7865181        1          1          1          2          8          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          13         6.7865181        1          1          1          2          9          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          13         6.7865181        1          1          1          2          10         2.6315789        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          14         7.508982         1          1          1          2          1          5.2358053        9.4904108        0.44712672       0.001            1.0246733e-05    0.010246733     
 1          14         7.508982         1          1          1          2          2          5.2627706        9.9927893        0.44995953       0.001            1.0204682e-05    0.010204682     
 1          14         7.508982         1          1          1          2          3          5.263154         9.9999271        0.44999959       0.001            1.0204088e-05    0.010204088     
