 IPER  ISTEP           TLEN           ILYR    IROW   ICOL            XCORD               YCORD                HEAD
 1          82         411.04192911     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          83         431.97716363     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          83         431.97716363     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          83         431.97716363     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          84         453.95915988     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          84         453.95915988     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          84         453.95915988     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          85         477.04025595     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          85         477.04025595     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          85         477.04025595     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          86         501.27540681     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          86         501.27540681     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          86         501.27540681     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          87         526.72231523     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          87         526.72231523     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          87         526.72231523     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          88         553.44156906     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          88         553.44156906     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          88         553.44156906     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          89         581.49678558     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          89         581.49678558     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          89         581.49678558     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          90         610.95476293     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          90         610.95476293     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          90         610.95476293     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          91         641.88563914     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          91         641.88563914     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          91         641.88563914     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          92         674.36305917     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          92         674.36305917     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          92         674.36305917     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          93         708.46435020     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          93         708.46435020     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          93         708.46435020     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          94         744.27070578     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          94         744.27070578     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          94         744.27070578     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          95         781.86737913     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          95         781.86737913     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          95         781.86737913     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          96         821.34388616     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          96         821.34388616     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          96         821.34388616     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          97         862.79421854     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          97         862.79421854     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          97         862.79421854     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          98         906.31706754     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          98         906.31706754     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          98         906.31706754     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          99         952.01605898     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          99         952.01605898     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          99         952.01605898     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          100        1000.00000000    1          1          1          0.50000000       -0.50000000      0.00000000          
 1          100        1000.00000000    1          1          2          1.50000000       -0.50000000      0.00000000          
 1          100        1000.00000000    1          1          3          2.50000000       -0.50000000      0.00000000          
